work_id,conference_label,conference_short_title,conference_theme_title,conference_year,conference_organizers,conference_series,conference_hosting_institutions,conference_city,conference_state,conference_country,conference_url,work_title,work_url,work_authors,work_type,parent_work_id,keywords,languages,topics,cld3,cld2,cld3vscld2
1996,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Mapping Colonial America's Printing Project,NA,Jean Ann Bauer;James Egan,poster / demo / art installation,NA,data visualization;history of the book;library catalog data,NA,NA,en,en,same
1997,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Mapping French Press to the Digital Age,NA,Alaa Abi Haidar;Jean-Gabriel Ganascia,poster / demo / art installation,NA,named entity recognition;unsupervised machine learning;word disambiguation,NA,NA,en,en,same
1998,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Marked E-Books and Kindle's popular highlight culture,NA,Simon Rowberry,poster / demo / art installation,NA,book history;e-books;provenance;reception,NA,NA,en,en,same
1999,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Marrying the Benefits of Print and Digital: Algorithmically Selecting Context for a Key Word,NA,Drayton Callen Benner,"paper, specified ""long paper""",NA,concordance;key word in context;kwic;search results;syntax,NA,NA,en,en,same
2000,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Matérialiser et rendre perceptible la transmission orale du savoir, L'édition électronique des cours d'Antoine Desgodets à l'Académie royale d'architecture en France, 1719-1728",NA,Robert Carvais;Emmanuel Chateau,"paper, specified ""long paper""",NA,architecture;droit;enseignement;tradition orale;xml-tei,NA,NA,fr,fr,same
2001,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Measuring the style of chick lit and literature,NA,Kim Johanna Jautze,poster / demo / art installation,NA,chick lit;literature;novelistic genres;stylometry,NA,NA,en,en,same
2002,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Medical Humanities. Projet de musée digital,NA,Radu Suciu;Alexandre Wenger;Laurent Bolli,poster / demo / art installation,NA,digital museum;html5;medical humanities;online curation;webapp,NA,NA,nl,NA,NA
2003,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Metaphor, Popular Science and Semantic Tagging: Distant Reading with the _Historical Thesaurus of English_",NA,Marc Alexander;Jean Anderson;Fraser Dallachy;Christian Kay;Scott Piao;Paul Rayson;Alistair Baron,"paper, specified ""long paper""",NA,corpus linguistics;distant reading;metaphor;semantic annotation;semantics,NA,NA,en,en,same
2004,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Mining a 'Trove': Modeling a Transnational Literary Culture,NA,Katherine Bode,"paper, specified ""long paper""",NA,bibliography;database;literary studies;modelling,NA,NA,en,NA,NA
2005,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Mining poetic rhythm: using text-to-speech software to rewrite English literary history,NA,Michael Alan Cade-Stewart,"paper, specified ""short paper""",NA,english;form;poetry;rhythm;text-mining,NA,NA,NA,en,NA
2006,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Mining the Cloud of Witness: Inferring the Prestige of Saints from Medieval Paintings,NA,Thomas Lombardi,"paper, specified ""short paper""",NA,art;association rules;data mining;network analysis;saints,NA,NA,en,en,same
2007,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Mixed data, mixed audience: building a flexible platform for the Visionary Cross project",NA,Roberto Rosselli Del Turco,"paper, specified ""long paper""",NA,3d modeling;digital edition;tei;web framework;xml,NA,NA,en,en,same
2008,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Mixing contributions, collaborations and co-creation: participatory archaeology through crowd-sourcing",NA,Daniel Pett;Chiara Bonacchi;Andy Bevan,"paper, specified ""long paper""",NA,3d;archaeology;crowdfunding;crowdsourcing;history,NA,NA,en,en,same
2009,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Modèles tridimensionnels pour la représentation de létat des connaissances et propositions de visualisation pour lanalyse des corpus textuels.,NA,Jean-Marc LeBlanc;Marie Pérès,"paper, specified ""long paper""",NA,corpus;ergonomie;modélisation informatique;représentation des connaissances;restitution archéologique;texométre;visualisation,NA,NA,fr,fr,same
2010,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Modeling Linguistic Research Data for a Repository for Historical Corpora,NA,Carolin Odebrecht,"paper, specified ""short paper""",NA,historical corpora;metadata;modeling;repository;research data,NA,NA,en,en,same
2011,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Modeling Melville's Reading: Editing Marginalia in TEI, Topic Modeling Reading and Influence",NA,Christopher Ohge,poster / demo / art installation,NA,marginalia;melville;tei;topic modeling,NA,NA,en,en,same
2012,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Modelling digital editing: of texts, documents and works",NA,Elena Pierazzo;Geoffroy Noël,"paper, specified ""long paper""",NA,document;model;modelling;text;work,NA,NA,en,en,same
2013,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Modelling digital edition of medieval and early modern accounting documents,NA,Georg Vogeler,"paper, specified ""long paper""",NA,accounting documents;digital scholarly edition;economic history;rdf;tei;xbrl,NA,NA,en,en,same
2014,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Monolith: Materialised Bits, the Digital Rosetta Film",NA,Peter R. Fornaro;Andreas Wassmer;Lukas Rosenthaler;Rudolf Gschwind,"paper, specified ""long paper""",NA,archiving;barcode;migration;storage,NA,NA,NA,en,NA
2015,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Mountains of Text. Analyzing Alpine Literature from the AAC,NA,Hanno Biber,poster / demo / art installation,NA,corpus research;named entities,NA,NA,en,en,same
2016,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,National Data Curation and Service Center for Digital Research Data in the Humanities,NA,Lukas Rosenthaler;Peter R. Fornaro;Claire Clivaz,"paper, specified ""long paper""",NA,infrastructure;linked data;long-term access;open data,NA,NA,en,en,same
2017,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Navigating the Storm: eMOP, Big DH Projects, and Agile Steering Standards",NA,Elizabeth Grumbach;Matthew J Christy;Laura Mandell;Clemens Neudecker;Loretta Auvil;Todd Samuelson;Apostolos Antonacopoulos,"paper, specified ""long paper""",NA,collaboration;cultural preservation;open source;optical character recognition (ocr);project management,NA,NA,en,en,same
2018,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Network Analysis for the History of Religions - The SeNeReKo project,NA,Frederik Elwert;Beate Hofmann;Sven Wortmann;Jürgen Knauth,poster / demo / art installation,NA,buddhism;egypt;network analysis;religion,NA,NA,en,en,same
2019,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Neue Möglichkeiten der Arbeit mit strukturierten Sprachressourcen in den Digital Humanities mithilfe von Data-Mining,NA,Christian Pölitz;Thomas Bartz;Michael Beißwenger;Nadja Radtke;Angelika Storrer,poster / demo / art installation,NA,computer mediated communication;corpus-based linguistics;data mining/machine learning;lexicography;support verb constructions,NA,NA,de,de,same
2020,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,New and recent developments in image analysis: theory and practice,NA,Charles Crowther;Julianne Nyhan;Segolene Tarte;Jacob Dahl,panel / roundtable,NA,image writing photographs classics decipherment,NA,NA,en,en,same
2021,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,On automatically disambiguating end-of-line hyphenated words in French texts,NA,Marcus Pöckelmann;Julia Ritter;André Gießler,"paper, specified ""short paper""",NA,hyphenation;syllabification;unhyphenation;unsyllabification,NA,NA,en,en,same
2022,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,On Metaphor in Text Visualization Prototypes,NA,Ernesto Peña;Monica Brown;Teresa Dobson,"paper, specified ""short paper""",NA,metaphor,NA,NA,en,en,same
2023,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,On Reusability and Electronic Literature,NA,Anthony Durity;James O'Sullivan,"paper, specified ""long paper""",NA,digital preservation;electronic literature;obsolescence;openness;reusability,NA,NA,en,en,same
2024,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Open-Access Cultural Heritage Resources and Native American Stakeholders: A Case Study from Chaco Canyon, New Mexico",NA,Carrie C. Heitman,poster / demo / art installation,NA,anthropology;archaeology;archives;cultural heritage;open-access,NA,NA,en,en,same
2025,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Orthography and Biblical Criticism,NA,Idan Dershowitz;Nachum Dershowitz;Tomer Hasid;Amnon Ta-Shma,poster / demo / art installation,NA,bible;cochran-mantel-haenszel test;orthography;sparse features,NA,NA,en,en,same
2026,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Our Marathon: The Boston Bombing Digital Archive,NA,Jim McGrath;Alicia Peaker,poster / demo / art installation,NA,born digital material;crowdsourcing;digital archives;metadata standards;social media,NA,NA,NA,en,NA
2027,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Pelagios 3: Towards the semi-automatic annotation of toponyms in early geospatial documents,NA,Rainer Simon;Elton Barker;Pau de Soto Cañamares;Leif Isaksen,"paper, specified ""long paper""",NA,annotation;early geospatial documents;image processing;linked open data,NA,NA,en,en,same
2028,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Photogrammar: Organizing Visual Culture through Geography, Text Mining, and Statistical Analysis",NA,Lauren Tilton;Peter Leonard;Taylor Arnold,"paper, specified ""long paper""",NA,american studies;geospatial;open source;photography;visual culture,NA,NA,en,en,same
2029,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Play as Process and Product: On Making Serendip-o-matic,NA,Mia Ridge;Brian Croxall;Amy Papaelias;Scott Kleinman,"paper, specified ""long paper""",NA,design;named entity recognition;play;user experience,NA,NA,en,en,same
2030,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Potential Criticism in the Digital Humanities,NA,Richard L. Edwards,"paper, specified ""long paper""",NA,algorthmic criticism;close reading;distant reading;oulipo;potential criticism,NA,NA,en,en,same
2031,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Probing Digital Scholarly Curation through the Dynamic Table of Contexts,NA,Susan Brown;Nadine Adelaar;Teresa Dobson;Ruth Knechtel;Andrew MacDonald;Brent Nelson;Ernesto Peña;Milena Radzikowska;Geoff Roeder;Stan Ruecker;Stéfan Sinclair;Jennifer Windsor,poster / demo / art installation,NA,digital curation;digital scholarly edition;indexing;semantic tagging;xml,NA,NA,en,en,same
2032,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Problems in Encoding Documents of the Early Modern Japanese,NA,Akihiro Kawase;Taro Ichimura;Toshinobu Ogiso,"paper, specified ""short paper""",NA,corpus studies;morphological analysis;old japanese;tei,NA,NA,en,en,same
2033,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Problems in Modeling Transactions,NA,Syd Bauman;Kathryn Tomasek,"paper, specified ""short paper""",NA,historical financial records;model;tei;transactions,NA,NA,en,en,same
2034,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Process Data for Digital Scholarly Editions,NA,Gunter Vasold,"paper, specified ""long paper""",NA,attribution;process data;process management;scholarly edition;social edition,NA,NA,en,en,same
2035,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Producción de contenidos abiertos en museos. Un análisis crítico de los discursos museológicos en el medio digital.,NA,María Isabel Hidalgo Urbaneja,"paper, specified ""long paper""",NA,analysis;api;discourse;glam;institutions;open data;web application,NA,NA,es,es,same
2036,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Progress Through Regression. Modeling Style across Genre in French Classical Theater,NA,Christof Schöch;Allen B. Riddell,"paper, specified ""long paper""",NA,french drama;literary genre;logistic regression,NA,NA,en,en,same
2037,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Pushing Back the Boundary of Interpretation: Concept, Practice and Relevance of a Digital Heuristic",NA,Jan Christoph Meister;Janina Jacke,"paper, specified ""long paper""",NA,annotation;digital heuristic;interpretation;machine learning;narratology,NA,NA,en,en,same
2038,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Quantifying ""The Thing Not Named"": A Computational Analysis of Willa Cather's ""Unfurnished"" Writing Style(s)""",NA,Rebecca Ankenbrand;Caterina Bernardini;Mikal Brotnov Eckstrom;Alex Kinnaman;Kimberly Ann Tedrow,poster / demo / art installation,NA,computational analysis;r;stylemetrics;text analysis;willa cather,NA,NA,en,en,same
2039,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Quelle médiation numérique pour le patrimoine bâti ?,NA,Jérôme Hennebert,"paper, specified ""long paper""",NA,audioguidage;médiation culturelle et numérique;numérisation du patrimoine,NA,NA,fr,fr,same
2040,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Reading Again: Annotating, Editing, and Writing in the Browser. Pedagogy, Design, and Development of Annotation Studio",NA,Kurt Fendt;Wyn Kelley;Jamie Folsom,poster / demo / art installation,NA,annotation;close reading;collaboration;critical thinking;writing,NA,NA,en,en,same
2041,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Reading Between the Lines: Image-to-Segment Relationship Development and Analysis,NA,Dustin Smith;Unmil Karadkar;Patricia Galloway;King Davis,poster / demo / art installation,NA,handwritten document transcription;privacy-sensitive transcription;threshold-based line segmentation,NA,NA,en,en,same
2042,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Readings of a photograph: Cognition and Access,NA,Vinayak Das Gupta,"paper, specified ""short paper""",NA,digital collections;metadata;photography;statistical analysis,NA,NA,en,en,same
2043,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Realizing the democratic potential of online sources in the classroom,NA,Robert Sweeny;Valerie C. Burton,"paper, specified ""long paper""",NA,history;online;sources;teaching;undergraduate,NA,NA,en,en,same
2044,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Reconstruction and Display of a Nineteenth Century Landscape Model,NA,Gary Priestnall;Lorenz Katharina;Mike Heffernan;Joe Bailey;Craig Goodere;Robyn Sullivan,"paper, specified ""long paper""",NA,3d printing;laser-scanning;maps;physical landscape model,NA,NA,en,en,same
2045,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Relating texts to 3D-information: A generic software environment for Spatial Humanities,NA,Martin Unold;Felix Lange,"paper, specified ""long paper""",NA,3d;annotation;collaboration;software;spatial humanities,NA,NA,en,en,same
2046,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,"Remediating 20th-Century Magazines of the Arts: Approaches, Methods, Possibilities",NA,Natalia Ermolaev;Clifford E. Wulfman;Hanno Biber;Thomas Crombez,panel / roundtable,NA,avant-garde;design;digital collections;linguistics;magazines,NA,NA,en,en,same
2047,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Representation and Absence in Digital Resources: The Case of Europeana Newspapers,NA,Alastair Dunning;Clemens Neudecker,"paper, specified ""long paper""",NA,absence;digital collections;digitisation;europeana;incompleteness,NA,NA,en,en,same
2048,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Rethinking HathiTrust Metadata to Support Workset Creation for Scholarly Analysis,NA,Katrina Fenlon;Timothy W. Cole;Myung-Ja K. Han;Craig Willis;Colleen Fallaw,poster / demo / art installation,NA,hathitrust;marc;metadata;workset creation,NA,NA,NA,en,NA
2049,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Rethinking Recommendations: Digital Tools for Art Discovery,NA,Desi Gonzalez;Liam Andrew,"paper, specified ""short paper""",NA,algorithms;arts;digital tools;discovery;recommendations,NA,NA,en,en,same
2050,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Rethinking Text Reuse as Digital Classicists,NA,Aurélien Berra;Matteo Romanello;Alexandra Trachsel,panel / roundtable,NA,digital classics;text reuse,NA,NA,en,en,same
2051,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Revisionism as Outreach: The Letters of 1916 Project,NA,Susan Schreibman,"paper, specified ""long paper""",NA,crowdsourcing;easter 1916.;tei encoding,NA,NA,en,en,same
2052,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Riorganizzare SignWriting per favorire la ricerca linguistica sulle Lingue dei Segni,NA,Claudia Savina Bianchini;Fabrizio Borgia;Maria De Marsico,"paper, specified ""long paper""",NA,corpus;informatics;linguistics;notation;sign language,Italian,NA,it,it,same
2053,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Scholarly primitives revisited: towards a practical taxonomy of digital humanities research activities and objects,NA,Luise Borek;Quinn Dombrowski;Matt Munson;Jody Perkins;Christof Schöch,"paper, specified ""short paper""",NA,linked data,NA,NA,en,en,same
2054,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Screen Rhetoric and Alternative Scholarship,NA,Daniel Randolph Anderson,"paper, specified ""short paper""",NA,alt-scholarship;performance;screencast,NA,NA,NA,en,NA
2055,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Seeing Dialogue: Network Visualization of Dramatic Texts,NA,Daniel James Powell,poster / demo / art installation,NA,drama;early modern studies;network analysis;visualization,NA,NA,en,en,same
